                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.95853,                0.55393,                 1.0079,                 1.0623,                 0.5334,                 1.0337,                0.90453,                0.87661,                0.91403,                0.60483,                 1.1355,                0.51812,                 1.1549,                 1.1877,                0.49381,                 1.1685,              0.0066754,              0.0066754,              0.0066754
                     93,                0.95715,                0.54982,                 1.0023,                 1.0504,                0.51359,                 1.0249,                0.90535,                0.83712,                0.89947,                0.58277,                  1.103,                0.52074,                   1.14,                 1.1613,                0.51338,                  1.146,              0.0066384,              0.0066384,              0.0066384
                     94,                0.95632,                0.55752,                 1.0165,                 1.0587,                0.52731,                 1.0331,                0.83236,                0.84471,                0.86702,                0.57777,                 1.1281,                0.55254,                 1.1477,                 1.1846,                0.55881,                 1.1486,              0.0066015,              0.0066015,              0.0066015
                     95,                0.95909,                0.55629,                 1.0125,                   1.06,                0.53926,                 1.0319,                0.93049,                0.84693,                0.90555,                0.58276,                 1.1165,                 0.5217,                 1.1441,                 1.1853,                0.49304,                 1.1592,              0.0065646,              0.0065646,              0.0065646
                     96,                0.95609,                0.55919,                0.99946,                 1.0563,                0.53141,                  1.019,                 0.9398,                0.82958,                0.89394,                0.58001,                 1.1191,                0.54101,                 1.1571,                 1.1638,                0.55858,                  1.177,              0.0065276,              0.0065276,              0.0065276
                     97,                0.94467,                0.54316,                0.99625,                 1.0485,                0.51338,                 1.0223,                0.85471,                0.81822,                0.87326,                0.56385,                  1.142,                0.53064,                 1.1553,                 1.1866,                0.52941,                 1.1693,              0.0064907,              0.0064907,              0.0064907
                     98,                0.95693,                 0.5542,                  1.013,                 1.0663,                 0.5556,                 1.0366,                0.88195,                0.86003,                0.89527,                0.58521,                 1.1285,                0.52367,                 1.1523,                 1.1784,                0.51339,                 1.1673,              0.0064537,              0.0064537,              0.0064537
                     99,                 0.9515,                0.55116,                 1.0054,                 1.0575,                0.51288,                 1.0316,                0.90156,                0.86355,                0.89883,                0.58799,                 1.1219,                0.53609,                 1.1575,                 1.1793,                0.51326,                 1.1798,              0.0064168,              0.0064168,              0.0064168
                    100,                0.95142,                0.54527,                 1.0017,                 1.0513,                0.51214,                 1.0243,                0.89219,                0.85646,                0.90525,                0.58757,                 1.1486,                0.54072,                 1.1716,                 1.2029,                0.51584,                 1.1792,              0.0063799,              0.0063799,              0.0063799
                    101,                0.93513,                0.53979,                0.99997,                 1.0395,                0.52957,                 1.0261,                0.93141,                0.84189,                0.89699,                0.57242,                 1.1134,                0.52738,                 1.1533,                 1.1729,                0.53371,                 1.1734,              0.0063429,              0.0063429,              0.0063429
                    102,                0.93358,                0.53766,                  1.004,                 1.0338,                0.51569,                 1.0304,                0.89702,                0.85103,                0.89729,                0.57811,                 1.1027,                0.52725,                 1.1478,                 1.1798,                0.52945,                 1.1771,               0.006306,               0.006306,               0.006306
                    103,                0.95053,                0.54631,                 1.0088,                 1.0501,                0.52626,                 1.0323,                0.86384,                0.83356,                 0.8799,                0.58444,                 1.1138,                0.53456,                 1.1623,                 1.1591,                0.56311,                 1.1833,               0.006269,               0.006269,               0.006269
                    104,                0.92466,                0.52956,                0.99482,                 1.0304,                0.50628,                 1.0159,                0.91589,                0.85011,                0.90525,                0.58938,                 1.1231,                0.53739,                 1.1646,                 1.1795,                0.53387,                 1.1803,              0.0062321,              0.0062321,              0.0062321
                    105,                0.94428,                0.54049,                 1.0073,                 1.0448,                0.51263,                 1.0306,                0.96073,                0.83294,                0.90173,                 0.5854,                 1.1267,                0.52405,                 1.1663,                 1.1646,                0.53204,                 1.1742,              0.0061951,              0.0061951,              0.0061951
                    106,                0.92674,                0.52746,                 1.0033,                 1.0298,                0.51064,                 1.0264,                0.90844,                0.87553,                0.89936,                0.59911,                 1.1199,                0.53007,                 1.1702,                 1.1578,                0.51958,                 1.1763,              0.0061582,              0.0061582,              0.0061582
                    107,                0.93005,                0.53281,                 1.0033,                  1.034,                0.51533,                 1.0281,                0.95036,                0.85514,                0.90385,                0.60389,                 1.1308,                0.52156,                 1.1781,                 1.1492,                 0.5262,                 1.1774,              0.0061213,              0.0061213,              0.0061213
                    108,                0.93346,                0.53397,                0.99499,                  1.035,                0.51159,                 1.0218,                0.90227,                0.86804,                0.90187,                0.58649,                 1.1385,                0.52347,                 1.1712,                 1.1753,                0.52928,                 1.1926,              0.0060843,              0.0060843,              0.0060843
                    109,                0.92636,                0.53084,                0.99041,                 1.0255,                 0.5172,                 1.0168,                0.91591,                0.88066,                0.90806,                0.58725,                   1.11,                0.51239,                 1.1579,                 1.1414,                0.50385,                 1.1722,              0.0060474,              0.0060474,              0.0060474
                    110,                0.94493,                0.54423,                 1.0061,                  1.043,                0.52582,                 1.0307,                0.95645,                0.84955,                0.90508,                 0.6041,                 1.1139,                0.52757,                 1.1609,                 1.1606,                0.52722,                 1.1872,              0.0060104,              0.0060104,              0.0060104
                    111,                0.92136,                0.52429,                0.99836,                 1.0152,                 0.4963,                 1.0236,                0.94348,                0.85078,                0.90427,                0.59685,                 1.1207,                0.51512,                 1.1589,                 1.1517,                0.51783,                 1.1808,              0.0059735,              0.0059735,              0.0059735
                    112,                0.91635,                0.51372,                 0.9898,                 1.0157,                0.49105,                 1.0166,                0.90905,                0.82814,                0.89813,                0.58435,                 1.1114,                0.53449,                 1.1602,                 1.1545,                0.53962,                 1.1802,              0.0059366,              0.0059366,              0.0059366
                    113,                0.91604,                0.52549,                0.99922,                 1.0045,                 0.5001,                 1.0212,                 0.8942,                0.86145,                0.90735,                0.59279,                  1.111,                0.51835,                 1.1584,                 1.1617,                0.51606,                  1.182,              0.0058996,              0.0058996,              0.0058996
                    114,                0.90793,                0.53404,                0.99116,                0.99664,                 0.4973,                 1.0135,                0.91591,                0.85199,                0.91042,                0.60111,                 1.1087,                0.52805,                 1.1681,                 1.1462,                0.51764,                   1.18,              0.0058627,              0.0058627,              0.0058627
                    115,                0.93015,                 0.5313,                0.99712,                 1.0323,                0.50195,                   1.02,                0.95508,                0.85377,                0.89706,                0.59116,                 1.1076,                0.52992,                 1.1565,                 1.1657,                0.52701,                 1.1712,              0.0058257,              0.0058257,              0.0058257
                    116,                0.90845,                0.52372,                0.98815,                 1.0112,                0.50348,                 1.0129,                0.89098,                 0.8826,                0.91081,                0.58771,                 1.1302,                0.51114,                 1.1685,                  1.181,                0.51678,                 1.1857,              0.0057888,              0.0057888,              0.0057888
                    117,                0.91088,                 0.5171,                0.98576,                 1.0101,                0.49975,                 1.0112,                0.91265,                0.88891,                 0.9004,                0.60068,                 1.1157,                0.51105,                 1.1589,                 1.1656,                0.49616,                 1.1785,              0.0057519,              0.0057519,              0.0057519
                    118,                0.90919,                0.51404,                0.98485,                  1.011,                0.48858,                 1.0111,                 0.9294,                0.86808,                0.90441,                0.59258,                 1.1151,                0.51803,                 1.1675,                 1.1718,                0.51307,                 1.1828,              0.0057149,              0.0057149,              0.0057149
                    119,                 0.9049,                0.51368,                0.98544,                 1.0025,                0.49394,                 1.0082,                0.92599,                0.85514,                 0.8976,                0.59064,                 1.1199,                0.52292,                 1.1749,                 1.1711,                0.49713,                  1.191,               0.005678,               0.005678,               0.005678
                    120,                0.91641,                 0.5279,                0.98958,                 1.0136,                0.50826,                   1.01,                0.90717,                0.86622,                0.90338,                0.61965,                 1.1058,                0.49633,                 1.1717,                  1.141,                 0.5145,                  1.175,               0.005641,               0.005641,               0.005641
                    121,                0.87796,                0.50788,                 0.9786,                0.97715,                0.47136,                0.99686,                0.88433,                0.87929,                0.89767,                 0.5934,                 1.1059,                0.51973,                 1.1737,                 1.1584,                0.50036,                 1.1817,              0.0056041,              0.0056041,              0.0056041
                    122,                0.89397,                0.51789,                0.98343,                0.98724,                0.48348,                 1.0015,                  0.918,                0.87945,                0.91057,                0.59628,                 1.1115,                0.49796,                 1.1753,                 1.1689,                0.47801,                 1.1861,              0.0055672,              0.0055672,              0.0055672
                    123,                0.90622,                0.52719,                0.99256,                  1.003,                0.50104,                 1.0134,                0.93809,                 0.8927,                0.92729,                0.60402,                 1.1067,                0.49603,                  1.167,                 1.1486,                 0.4832,                 1.1712,              0.0055302,              0.0055302,              0.0055302
                    124,                0.89917,                0.52152,                0.98991,                0.99549,                 0.4977,                 1.0099,                0.92447,                 0.8441,                0.90694,                 0.5982,                 1.1058,                0.51036,                 1.1568,                 1.1399,                0.50454,                 1.1685,              0.0054933,              0.0054933,              0.0054933
                    125,                 0.8902,                0.50868,                0.98496,                0.98833,                0.48811,                 1.0046,                0.93576,                0.88092,                0.91494,                 0.6015,                 1.0998,                 0.4973,                 1.1541,                 1.1493,                0.51184,                 1.1635,              0.0054563,              0.0054563,              0.0054563
                    126,                0.89229,                0.51097,                0.98339,                0.98424,                0.49023,                0.99699,                 0.9508,                0.87424,                0.91922,                0.60815,                 1.0964,                0.50178,                  1.147,                 1.1342,                0.50199,                 1.1545,              0.0054194,              0.0054194,              0.0054194
                    127,                0.89209,                0.51253,                0.98265,                 0.9909,                0.49554,                 1.0043,                0.95211,                0.86493,                0.91295,                0.59178,                 1.1156,                0.51219,                 1.1672,                 1.1665,                0.49717,                 1.1856,              0.0053825,              0.0053825,              0.0053825
                    128,                0.88902,                0.50446,                0.99093,                0.97715,                0.46673,                 1.0056,                0.92754,                0.88319,                0.91862,                0.59085,                 1.1155,                0.50755,                  1.175,                 1.1561,                 0.5048,                 1.1756,              0.0053455,              0.0053455,              0.0053455
                    129,                0.89819,                0.50377,                0.98172,                0.98214,                0.46743,                0.99725,                0.93311,                0.83744,                0.90558,                0.59015,                 1.1023,                 0.5351,                 1.1628,                  1.146,                0.53079,                 1.1746,              0.0053086,              0.0053086,              0.0053086
                    130,                 0.8768,                  0.504,                0.97278,                0.97416,                0.47687,                0.98992,                0.93916,                0.85546,                0.91139,                0.60746,                 1.1008,                0.51223,                 1.1596,                 1.1319,                0.52972,                 1.1642,              0.0052716,              0.0052716,              0.0052716
                    131,                0.87529,                0.50354,                0.97409,                0.97328,                0.47932,                0.98668,                0.93051,                0.84327,                0.90533,                 0.6012,                 1.1072,                0.53323,                 1.1688,                 1.1515,                0.53522,                 1.1782,              0.0052347,              0.0052347,              0.0052347
                    132,                0.87386,                0.50151,                0.97154,                0.97661,                0.47104,                0.99124,                0.93116,                0.87392,                0.90513,                0.59863,                 1.1111,                0.51777,                 1.1814,                 1.1621,                0.49507,                 1.2017,              0.0051978,              0.0051978,              0.0051978
                    133,                0.86288,                0.49327,                0.97762,                0.95497,                0.45572,                0.99571,                0.94761,                0.86777,                0.90624,                0.60116,                 1.1213,                0.51108,                 1.1803,                 1.1737,                0.47775,                 1.1969,              0.0051608,              0.0051608,              0.0051608
                    134,                0.87483,                0.50482,                0.97942,                0.96863,                0.47557,                0.99385,                 0.9707,                0.83965,                0.89945,                0.59932,                 1.1106,                0.52479,                 1.1745,                 1.1556,                0.50006,                 1.1835,              0.0051239,              0.0051239,              0.0051239
                    135,                0.88027,                0.50038,                0.98161,                0.97284,                0.46994,                 0.9999,                0.92173,                0.87244,                0.90422,                0.59586,                 1.0997,                0.51367,                 1.1743,                 1.1509,                0.48789,                 1.1771,              0.0050869,              0.0050869,              0.0050869
                    136,                0.86278,                0.49582,                0.97016,                0.95573,                0.47518,                0.98872,                0.91156,                 0.8602,                0.91038,                0.60752,                 1.0942,                    0.5,                 1.1683,                 1.1462,                0.49852,                 1.1743,                0.00505,                0.00505,                0.00505
                    137,                0.86658,                0.49517,                0.96695,                0.95586,                0.46721,                0.98857,                0.92927,                0.85862,                0.90254,                0.60933,                 1.1023,                0.51931,                 1.1697,                 1.1317,                0.51504,                 1.1727,              0.0050131,              0.0050131,              0.0050131
